region,source_column,target_column,dtype
indian,date_witness,date_witness,date
indian,date_agent,date_agent,date
indian,witness,witness,text
indian,agent,agent,text
indian,latitude,latitude,float
indian,longitude,longitude,float
indian,city,city,text
indian,country,country,text
indian,region_hq,region_hq,text
indian,has_weapon,has_weapon,boolean
indian,has_hat,has_hat,boolean
indian,has_jacket,has_jacket,boolean
indian,behavior,behavior,text
asia,sighting,date_witness,date
asia,报道,date_agent,date
asia,citizen,witness,text
asia,officer,agent,text
asia,纬度,latitude,float
asia,经度,longitude,float
asia,city,city,text
asia,nation,country,text
asia,city_interpol,region_hq,text
asia,has_weapon,has_weapon,boolean
asia,has_hat,has_hat,boolean
asia,has_jacket,has_jacket,boolean
asia,behavior,behavior,text
america,date_witness,date_witness,date
america,date_agent,date_agent,date
america,witness,witness,text
america,agent,agent,text
america,latitude,latitude,float
america,longitude,longitude,float
america,city,city,text
america,country,country,text
america,region_hq,region_hq,text
america,has_weapon,has_weapon,boolean
america,has_hat,has_hat,boolean
america,has_jacket,has_jacket,boolean
america,behavior,behavior,text
pacific,sight_on,date_witness,date
pacific,file_on,date_agent,date
pacific,sighter,witness,text
pacific,filer,agent,text
pacific,lat,latitude,float
pacific,long,longitude,float
pacific,town,city,text
pacific,nation,country,text
pacific,report_office,region_hq,text
pacific,has_weapon,has_weapon,boolean
pacific,has_hat,has_hat,boolean
pacific,has_jacket,has_jacket,boolean
pacific,behavior,behavior,text
australia,witnessed,date_witness,date
australia,reported,date_agent,date
australia,observer,witness,text
australia,field_chap,agent,text
australia,lat,latitude,float
australia,long,longitude,float
australia,place,city,text
australia,nation,country,text
australia,interpol_spot,region_hq,text
australia,has_weapon,has_weapon,boolean
australia,has_hat,has_hat,boolean
australia,has_jacket,has_jacket,boolean
australia,state_of_mind,behavior,text
atlantic,date_witness,date_witness,date
atlantic,date_agent,date_agent,date
atlantic,witness,witness,text
atlantic,agent,agent,text
atlantic,latitude,latitude,float
atlantic,longitude,longitude,float
atlantic,city,city,text
atlantic,country,country,text
atlantic,region_hq,region_hq,text
atlantic,has_weapon,has_weapon,boolean
atlantic,has_hat,has_hat,boolean
atlantic,has_jacket,has_jacket,boolean
atlantic,behavior,behavior,text
africa,date_witness,date_witness,date
africa,date_agent,date_agent,date
africa,witness,witness,text
africa,agent,agent,text
africa,latitude,latitude,float
africa,longitude,longitude,float
africa,city,city,text
africa,country,country,text
africa,region_hq,region_hq,text
africa,has_weapon,has_weapon,boolean
africa,has_hat,has_hat,boolean
africa,has_jacket,has_jacket,boolean
africa,behavior,behavior,text
europe,date_witness,date_witness,date
europe,date_filed,date_agent,date
europe,witness,witness,text
europe,agent,agent,text
europe,lat_,latitude,float
europe,long_,longitude,float
europe,city,city,text
europe,country,country,text
europe,region_hq,region_hq,text
europe,armed?,has_weapon,boolean
europe,chapeau?,has_hat,boolean
europe,coat?,has_jacket,boolean
europe,observed_action,behavior,text
